City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_speed
birjand,0,IR,1571025067,43,32.86,59.22,51.8,9.17
laguna,75,BZ,1571025067,100,16.17,-88.94,75.2,4.7
amapala,100,CR,1571025067,1,10.26,-84.81,70.0,3
belushya guba, ,,,,,,,
vrangel,100,RU,1571025068,74,42.73,133.08,45.28,15.85
pitimbu,90,BR,1571025068,100,-7.47,-34.81,73.4,10.29
recreio,0,BR,1571025069,75,-21.52,-42.47,70.0,1.01
vostok,0,RU,1571025069,32,46.45,135.83,36.5,12.31
hervey bay,90,AU,1571025069,53,-25.3,152.85,78.01,14.99
ridgecrest,1,US,1571025070,12,35.62,-117.67,66.99,8.05
carutapera,0,BR,1571025070,79,-1.2,-46.02,80.51,16.5
nicoya,90,CR,1571025070,94,10.15,-85.45,75.2,6.93
cururupu,0,BR,1571025071,90,-1.82,-44.87,73.9,3.02
duncan,1,US,1571025071,59,34.5,-97.96,64.4,8.05
komsomolets,100,RU,1571025071,95,52.77,41.29,46.47,7.25
chagda, ,,,,,,,
bambous virieux,75,MU,1571025072,83,-20.34,57.76,73.0,3.36
pop,16,UZ,1571025072,55,40.87,71.1,60.8,2.24
kalmunai,90,LK,1571025072,76,7.42,81.82,82.24,8.55
hualmay,66,PE,1571025073,83,-11.1,-77.61,58.14,3.05
rundu,70,NA,1571025073,56,-17.91,19.77,71.6,2.24
nanchital,1,MX,1571025073,92,18.07,-94.4,75.87,6.39
burica, ,,,,,,,
santa maria,93,BR,1571025074,40,-16.02,-48.01,73.4,3.36
karmana, ,,,,,,,
huntsville,1,US,1571025074,76,34.73,-86.59,57.2,3.05
collie,53,AU,1571025075,34,-33.36,116.15,66.99,5.12
chino,75,JP,1571025075,87,35.99,138.16,63.0,3.36
turbat,0,PK,1571025075,59,26.0,63.05,80.78,2.44
akyab, ,,,,,,,
yulara,75,AU,1571025076,7,-25.24,130.99,98.6,9.17
talara,30,PE,1571025076,88,-4.58,-81.27,63.59,16.98
sitka,0,US,1571025077,60,37.17,-99.65,53.01,8.99
aklavik,40,CA,1571025077,85,68.22,-135.01,24.8,4.7
trat,20,TH,1571025077,70,12.25,102.51,90.0,3.36
santa isabel,1,MX,1571025078,16,32.63,-115.58,77.0,3.36
manohar thana,11,IN,1571025078,58,24.24,76.8,75.78,1.88
mount gambier,40,AU,1571025078,55,-37.83,140.78,62.6,11.41
okhotsk,74,RU,1571025079,58,59.36,143.24,21.45,17.96
tarko-sale,85,RU,1571025079,95,64.92,77.78,41.0,12.05
saint-philippe,1,CA,1571025079,81,45.36,-73.48,52.0,5.82
xuddur,31,SO,1571025080,84,4.12,43.89,73.4,10.92
labuhan,36,ID,1571025080,38,-2.54,115.51,95.67,3.07
santa cruz del sur,39,CU,1571025080,82,20.71,-78,81.99,17.96
mamlyutka,100,KZ,1571025081,78,54.94,68.54,46.94,14.21
eldikan, ,,,,,,,
dolbeau, ,,,,,,,
melfort,90,CA,1571025081,80,52.87,-104.61,30.2,2.24
imbituba,75,BR,1571025082,94,-28.24,-48.67,71.6,8.05
rio bueno,20,JM,1571025082,69,18.47,-77.46,82.4,4.7
domoni, ,,,,,,,
ratnagiri,78,IN,1571025083,82,16.98,73.3,79.83,2.25
leoben,75,AT,1571025083,93,47.38,15.09,53.01,1.12
samusu, ,,,,,,,
we, ,,,,,,,
bria,62,CF,1571025084,93,6.54,21.99,66.38,3.25
warqla, ,,,,,,,
dungarpur,0,IN,1571025084,49,23.85,73.71,78.89,1.81
kibre mengist,65,ET,1571025085,97,5.87,38.99,54.37,1.39
khatanga,95,RU,1571025085,93,71.98,102.47,25.52,13.52
nadudvar,0,HU,1571025085,100,47.42,21.17,46.4,1.12
inderborskiy, ,,,,,,,
wanganui,100,NZ,1571025086,44,-39.93,175.05,60.01,15.01
houma,100,CN,1571025086,85,35.63,111.36,50.38,9.94
ayios kirikos, ,,,,,,,
scottsbluff,1,US,1571025087,52,41.87,-103.67,48.99,3.36
alofi,99,NU,1571025087,65,-19.06,-169.92,78.8,16.11
bandarbeyla,94,SO,1571025087,77,9.49,50.81,80.65,10.16
galdar,20,ES,1571025088,73,28.15,-15.65,69.8,12.75
riyadh,0,SA,1571025088,57,24.63,46.72,75.2,3.36
namatanai,80,PG,1571025088,66,-3.66,152.44,83.98,1.44
lexington park,90,US,1571025089,88,38.26,-76.45,66.0,3.64
constitucion,40,MX,1571025089,55,23.99,-104.67,64.4,4.7
urumqi, ,,,,,,,
bonnyville,90,CA,1571025089,65,54.27,-110.74,44.6,5.82
talnakh,100,RU,1571025090,97,69.49,88.39,27.45,8.24
amderma, ,,,,,,,
pucheni,63,RO,1571025090,61,45.18,25.28,57.99,3.22
thinadhoo,92,MV,1571025091,78,0.53,72.93,82.13,8.75
solnechnyy,2,RU,1571025091,27,50.72,136.64,34.63,6.55
sainte-marie,20,CA,1571025091,86,46.45,-71.03,43.0,5.82
herat,0,AF,1571025092,47,34.35,62.22,57.2,11.41
brookings,75,US,1571025092,74,44.31,-96.8,37.4,6.96
palabuhanratu, ,,,,,,,
pringsewu,21,ID,1571025092,42,-5.36,104.98,91.71,0.62
kumba,94,CM,1571025093,98,4.64,9.44,71.87,0.94
punta de bombon,59,PE,1571025093,84,-17.17,-71.79,58.3,4.27
kinango,75,KE,1571025093,100,-4.13,39.32,73.4,5.82
waingapu,94,ID,1571025094,70,-9.65,120.26,79.79,6.93
buriti dos lopes,1,BR,1571025094,80,-3.18,-41.87,74.93,5.68
bolu,1,TR,1571025095,42,40.73,31.61,53.31,2.16
canmore,90,CA,1571025095,93,51.09,-115.35,37.4,3.36
maniitsoq,0,GL,1571025095,54,65.42,-52.9,28.04,4.43
portsmouth,100,GB,1571025096,93,50.8,-1.08,55.99,4.7
kresttsy,79,RU,1571025096,98,58.25,32.52,42.12,4.36
ngukurr, ,,,,,,,
nea vissa,0,GR,1571025096,10,41.58,26.53,46.0,5.02
jaffna,34,LK,1571025097,72,9.67,80.01,82.49,1.62
olafsvik, ,,,,,,,
verkhniy avzyan,62,RU,1571025098,92,53.53,57.54,38.88,7.65
sterling,1,US,1571025098,93,39.0,-77.4,62.6,3.48
bolobo,74,CD,1571025098,85,-2.17,16.23,72.88,2.95
beloha,98,MG,1571025098,84,-25.17,45.06,70.9,3.57
ostrovnoy,96,RU,1571025099,80,68.05,39.51,34.2,8.95
faanui,9,PF,1571025099,75,-16.48,-151.75,77.27,16.48
meulaboh,100,ID,1571025100,79,4.14,96.13,79.9,6.56
marsh harbour,34,BS,1571025100,73,26.54,-77.06,77.54,11.73
rungata, ,,,,,,,
necochea,0,AR,1571025100,70,-38.55,-58.74,46.0,13
novikovo,28,RU,1571025101,91,51.15,37.89,51.3,6.05
lolua, ,,,,,,,
katiola,40,CI,1571025101,100,8.14,-5.1,73.4,4.7
coruripe,7,BR,1571025102,79,-10.12,-36.18,76.06,11.97
salamiyah,41,SY,1571025102,38,35.01,37.05,64.92,1.35
biskamzha,40,RU,1571025102,68,53.45,89.53,45.52,1.01
tuktoyaktuk,40,CA,1571025103,68,69.44,-133.03,30.2,14.99
oktyabrskoye,100,RU,1571025103,61,56.73,85.44,54.0,9.8
bandar,0,BD,1571025103,74,22.29,91.78,84.2,4.7
mabaruma,100,GY,1571025104,98,8.2,-59.78,71.4,1.81
yanliang,3,CN,1571025104,82,34.66,109.22,70.0,8.95
suchiapa,5,MX,1571025104,88,16.62,-93.08,73.4,6.93
mango,25,CF,1571025105,97,4.65,22.36,68.14,1.66
scarborough,100,GB,1571025105,100,54.28,-0.41,48.0,2.24
port moresby,0,PG,1571025105,82,-9.47,147.16,77.52,24.65
saint george,0,GR,1571025106,93,39.45,22.34,57.2,1.21
whitehorse,90,CA,1571025106,74,60.72,-135.06,30.2,3.36
sabang,100,PH,1571025106,68,13.8,121.11,84.99,7
bundaberg,90,AU,1571025107,53,-24.87,152.35,78.01,14.99
lata,0,IN,1571025107,29,30.78,78.62,39.15,2.16
bolungarvik, ,,,,,,,
saint-leu,57,RE,1571025108,61,-21.15,55.28,77.0,6.93
hohhot,0,CN,1571025108,17,40.81,111.65,42.8,8.95
sinegorskiy,5,RU,1571025108,86,48.01,40.84,51.98,4.95
richards bay,78,ZA,1571025109,82,-28.77,32.06,69.13,17.3
los llanos de aridane,90,ES,1571025109,88,28.66,-17.92,68.0,11.41
ponta do sol,28,BR,1571025109,50,-20.63,-46,69.94,5.64
porto novo,0,BR,1571025110,60,-23.68,-45.44,71.6,3.36
kadykchan, ,,,,,,,
bud,0,NO,1571025110,59,62.91,6.91,33.8,6.93
carolina,40,PR,1571025111,78,18.38,-65.96,80.6,8.05
omboue,100,GA,1571025111,96,-1.57,9.26,73.8,4.76
laramie,1,US,1571025111,29,41.31,-105.59,48.0,11.41
braganca,10,BR,1571025112,90,-1.05,-46.77,73.9,2.8
rolim de moura, ,,,,,,,
balaipungut,82,ID,1571025112,58,1.11,101.31,89.96,1.9
flinders,0,AU,1571025113,38,-34.58,150.85,78.01,10.29
clovis,1,US,1571025113,32,36.83,-119.7,68.0,5.82
solenzo,13,BF,1571025113,91,12.18,-4.08,72.86,6.33
san quintin,98,PH,1571025113,60,17.54,120.52,86.83,2.6
mandalgovi,0,MN,1571025114,46,45.76,106.27,31.41,8.86
les cayes,40,HT,1571025114,77,18.19,-73.75,83.08,11.23
sakaiminato,75,JP,1571025114,88,35.55,133.23,66.2,2.24
bubaque,100,GW,1571025115,77,11.28,-15.83,80.83,6.97
yurginskoye,100,RU,1571025115,90,56.82,67.39,44.42,11.46
siocon,52,PH,1571025115,60,11.03,124.04,85.42,5.96
kashiwazaki,100,JP,1571025116,87,37.37,138.57,61.0,7.7
moree,86,AU,1571025116,24,-29.46,149.84,82.99,12.75
vaitupu, ,,,,,,,
nhulunbuy,20,AU,1571025117,52,-12.18,136.78,87.8,9.17
namie,75,JP,1571025117,93,37.52,140.86,69.01,3.36
davila,40,PH,1571025118,55,18.47,120.58,89.6,9.17
tilichiki,43,RU,1571025118,69,60.47,166.1,34.81,4.46
hirara,75,JP,1571025118,74,24.8,125.28,80.6,16.11
alfred,20,CA,1571025119,81,45.56,-74.88,48.2,4.7
sydney mines,20,CA,1571025119,93,46.24,-60.22,51.01,6.93
rio gallegos,0,AR,1571025119,64,-51.62,-69.22,33.8,5.82
talcahuano,0,CL,1571025120,87,-36.72,-73.12,53.6,2.24
rincon,75,PA,1571025120,100,8.46,-82.28,73.4,4.7
mbanza-ngungu,100,CD,1571025120,93,-5.25,14.87,69.78,2.73
sao bento do sul,24,BR,1571025121,96,-26.25,-49.38,71.01,3
stromness,75,CA,1571025121,76,42.87,-79.55,60.01,5.82
port macquarie,0,AU,1571025121,49,-31.43,152.91,73.99,13.87
cayenne,98,GF,1571025122,94,4.94,-52.33,75.2,5.75
barabai,36,ID,1571025122,38,-2.59,115.38,95.67,3.07
moroto,100,UG,1571025122,80,2.53,34.66,68.9,2.4
misratah,33,LY,1571025123,75,32.38,15.09,74.91,9.74
stranda,1,NO,1571025123,100,62.31,6.93,37.99,2.24
saint anthony,1,US,1571025123,41,43.97,-111.68,42.8,4.61
mae ramat,40,TH,1571025124,83,16.98,98.52,80.6,4.7
dongsheng,100,CN,1571025124,70,29.72,112.52,67.89,11
arkhara,0,RU,1571025124,33,49.42,130.09,36.14,15.19
kerman,0,IR,1571025125,17,30.29,57.06,44.6,4.7
matagami,100,NG,1571025125,76,9.67,8.4,69.13,3.65
carndonagh,89,IE,1571025126,94,55.25,-7.27,39.31,1.92
bitburg,20,DE,1571025126,76,49.97,6.52,57.2,4.7
luena,100,AO,1571025126,90,-11.78,19.91,63.55,3.2
acajutla,100,SV,1571025127,92,13.59,-89.83,78.24,11.71
kholmogory,100,RU,1571025127,98,64.23,41.65,40.08,3.72
ngunguru,100,NZ,1571025127,95,-35.62,174.5,55.0,18.01
arlit,0,NE,1571025128,19,18.74,7.39,82.26,8.16
upernavik,0,GL,1571025128,47,72.79,-56.15,18.73,10.7
vaitape,9,PF,1571025128,75,-16.52,-151.75,77.27,16.48
port hedland,62,AU,1571025129,35,-20.31,118.58,89.6,17.22
maloy,100,ID,1571025129,53,1.0,118.1,90.68,2.86
atherton,57,AU,1571025129,58,-17.27,145.48,87.01,10.29
monrovia,100,LR,1571025129,88,6.33,-10.8,76.46,4.53
vagay,100,RU,1571025130,87,57.94,69.02,43.97,8.84
big spring,1,US,1571025130,35,32.25,-101.48,71.6,9.17
popondetta,1,PG,1571025130,50,-8.77,148.24,80.31,5.72
papetoai,20,PF,1571025131,65,-17.5,-149.87,78.8,8.05
tokat,0,TR,1571025131,38,40.33,36.55,42.8,9.17
talah, ,,,,,,,
avera,75,US,1571025132,100,33.19,-82.53,73.4,4.7
kirakira,92,SB,1571025132,79,-10.46,161.92,81.37,3.09
masjed-e soleyman, ,,,,,,,
alexandria,0,RO,1571025133,95,43.97,25.33,44.01,4.1
korla, ,,,,,,,
mitu,0,IR,1571025133,79,36.2,46.09,40.42,8.34
hami,0,CN,1571025133,29,42.84,93.51,57.78,3.58
baykit,100,RU,1571025134,92,61.68,96.39,32.47,2.74
cenotillo,7,MX,1571025134,96,20.97,-88.6,74.34,4.25
broken hill,0,AU,1571025134,33,-31.97,141.45,77.0,16.11
roebourne,0,AU,1571025135,16,-20.77,117.15,91.35,16.17
imaichi,95,JP,1571025135,56,36.72,139.68,66.0,4
adelaide,20,AU,1571025135,63,-34.93,138.6,69.01,12.75
carauari,100,BR,1571025136,70,-4.88,-66.9,78.71,0.28
mut,0,TR,1571025136,55,36.64,33.44,59.52,2.35
gamba,0,CN,1571025136,48,28.28,88.52,32.77,4.57
kilifi,75,KE,1571025137,100,-3.63,39.85,73.4,5.82
tabialan, ,,,,,,,
gat,20,SN,1571025137,88,14.69,-16.54,80.6,4.7
mulege,100,MX,1571025138,81,26.88,-111.98,73.74,3.61
birao,100,CF,1571025138,93,10.3,22.78,70.79,6.25
yarada,20,IN,1571025138,70,17.65,83.27,86.0,3.36
santa lucia,100,IT,1571025139,87,41.98,12.66,66.0,5.82
dicabisagan,100,PH,1571025139,69,17.08,122.42,83.19,12.44
menongue,100,AO,1571025139,78,-14.66,17.68,63.18,7.44
mogadishu,92,SO,1571025140,85,2.04,45.34,79.95,8.57
anantnag,0,IN,1571025140,69,33.74,75.15,49.89,4.11
kultuk,12,RU,1571025140,25,51.73,103.71,44.02,1.52
vestmannaeyjar,65,IS,1571025141,71,63.44,-20.27,44.64,24.09
preobrazheniye,100,RU,1571025141,90,42.9,133.91,39.79,3.7
varhaug,75,NO,1571025141,81,58.61,5.65,51.01,5.82
lazaro cardenas,90,MX,1571025142,93,28.39,-105.62,60.8,1.43
zarubino,0,RU,1571025142,43,42.65,131.06,47.08,19.33
marrakesh,75,MA,1571025142,82,31.63,-7.99,64.4,5.82
alotau, ,,,,,,,
zell am see,0,AT,1571025143,97,47.32,12.8,48.0,2.61
mnogovershinnyy,100,RU,1571025143,56,53.94,139.92,28.13,17.98
noumea,75,NC,1571025143,53,-22.28,166.46,77.0,14.99
humberto de campos,19,BR,1571025144,81,-2.6,-43.46,77.95,8
nizhniy kuranakh,100,RU,1571025144,80,58.84,125.49,25.93,11.15
goma,4,CD,1571025144,94,-1.67,29.23,54.03,0.94
sobolevo,78,RU,1571025145,95,54.43,31.9,46.45,4.41
tilsonburg, ,,,,,,,
nova odesa,75,UA,1571025145,100,47.3,31.79,53.6,2.24
kelowna,90,CA,1571025146,100,49.89,-119.5,44.01,3.36
wagar,56,US,1571025146,82,31.44,-87.99,64.99,2.75
shihezi,0,CN,1571025146,33,44.3,86.03,62.92,9.36
santo andre,10,BR,1571025147,90,-0.91,-46.86,73.9,2.8
edd,100,ER,1571025147,38,13.93,41.69,87.21,0.53
shushtar,14,IR,1571025147,26,32.05,48.86,74.68,2.52
malanje,100,AO,1571025147,96,-9.54,16.35,65.08,2.27
omsukchan,94,RU,1571025148,88,62.53,155.8,9.93,2.86
wajir,75,KE,1571025148,100,1.75,40.07,73.4,4.7
idlib,0,SY,1571025148,55,35.93,36.64,62.6,5.82
galiakot,0,IN,1571025149,53,23.54,74.01,79.38,0.81
flin flon,89,CA,1571025149,89,54.77,-101.88,34.07,3.17
tapaua, ,,,,,,,
alice springs,54,AU,1571025150,6,-23.7,133.88,100.4,6.93
sao goncalo,0,BR,1571025150,88,-22.83,-43.05,78.8,3.36
namtsy,63,RU,1571025150,83,62.72,129.66,23.67,10.24
wasilla,1,US,1571025150,74,61.58,-149.44,39.2,2.69
kasongo-lunda,100,CD,1571025151,99,-6.48,16.82,67.01,2.34
bara,91,NG,1571025151,81,10.41,10.6,74.19,2.96
nanchang,93,CN,1571025151,57,28.68,115.89,75.69,13.47
gondanglegi,37,ID,1571025152,44,-7.75,112.01,90.1,9.96
qaqortoq,0,GL,1571025152,55,60.72,-46.03,33.8,6.93
gharb, ,,,,,,,
vestmanna,79,FO,1571025153,87,62.16,-7.17,35.6,1.12
adamovka,100,RU,1571025153,93,51.52,59.94,48.18,17.75
shingu,75,JP,1571025153,94,33.72,135.99,71.6,6.93
nyzy,7,UA,1571025154,83,50.78,34.78,52.25,4.41
yuci,90,CN,1571025154,70,37.68,112.73,46.4,11.18
maturin,8,VE,1571025154,94,9.75,-63.18,73.65,4.26
comodoro rivadavia,0,AR,1571025155,80,-45.87,-67.48,35.6,3.43
palmerston north,100,NZ,1571025155,59,-40.35,175.62,60.01,7
chuguyevka,100,RU,1571025155,86,44.17,133.87,33.49,6.3
wanaka,100,NZ,1571025155,75,-44.7,169.14,47.82,4.07
iordacheanu, ,,,,,,,
veraval,75,FR,1571025156,100,49.65,0.71,57.0,9.17
bembereke,19,BJ,1571025156,96,10.23,2.66,72.03,4.04
muroto,20,JP,1571025157,47,33.37,134.14,78.8,6.93
tommot,100,RU,1571025157,85,58.97,126.27,24.57,12.27
nemuro,75,JP,1571025157,50,43.32,145.57,53.6,12.75
samarai,40,PG,1571025159,68,-10.62,150.67,79.48,10.08
hovd,8,NO,1571025159,92,63.83,10.7,42.01,9.17
sinnamary,89,GF,1571025159,82,5.38,-52.96,81.25,16.36
general roca,26,AR,1571025160,16,-39.03,-67.58,53.6,17.22
annau,0,TM,1571025160,76,37.89,58.52,53.6,3.6
bar harbor,75,US,1571025160,100,44.39,-68.2,52.0,2.89
gorele,0,TR,1571025161,82,41.03,39,59.0,6.93
pyay,100,MM,1571025161,95,18.82,95.22,77.04,4.39
strezhevoy,100,RU,1571025161,95,60.73,77.6,44.33,8.31
falealupo, ,,,,,,,
vila franca do campo,75,PT,1571025162,72,37.72,-25.43,62.6,13.87
kukes,0,AL,1571025162,58,42.08,20.42,52.54,3.7
arona,75,IT,1571025162,93,45.76,8.56,59.0,3.36
tallahassee,20,US,1571025163,83,30.44,-84.28,75.99,4.48
requena,75,ES,1571025163,88,39.49,-1.1,68.0,3.36
prince rupert,1,CA,1571025163,93,54.32,-130.32,41.0,5.82
sao joao da barra,0,BR,1571025164,82,-21.64,-41.05,73.89,22.12
umm jarr, ,,,,,,,
tabou,89,CI,1571025164,95,4.42,-7.36,73.04,2.32
satitoa, ,,,,,,,
pasighat,0,IN,1571025165,64,28.06,95.33,78.78,1.76
ikongo,9,MG,1571025165,93,-21.88,47.44,66.24,0.86
keetmanshoop,2,NA,1571025166,13,-26.57,18.15,73.4,3.36
kaka,0,TM,1571025166,71,37.35,59.62,53.56,1.29
